seq,code,name,price,type_code
1,000001,リンゴ000001,90,01
2,000002,梨000002,100,01
3,000003,桃000003,110,01
4,000004,イチゴ000004,120,01
5,000005,西瓜000005,1000,01
6,000006,寿司000006,90,02
7,000007,焼肉000007,100,02
8,000008,唐揚げ000008,200,02
9,000009,餃子000009,210,02
10,000010,たこ焼き000010,1000,02
11,000011,コカコーラ000011,180,03
12,000012,お茶000012,1000,03
13,000013,麦茶000013,100,03
14,000014,炭酸水000014,1300,03
15,000015,リンゴ000015,90,01
16,000016,梨000016,100,01
17,000017,桃000017,110,01
18,000018,イチゴ000018,120,01
19,000019,西瓜000019,1000,01
20,000020,寿司000020,90,02
21,000021,焼肉000021,100,02
22,000022,唐揚げ000022,200,02
23,000023,餃子000023,210,02
24,000024,たこ焼き000024,1000,02
25,000025,コカコーラ000025,180,03
26,000026,お茶000026,1000,03
27,000027,麦茶000027,100,03
28,000028,炭酸水000028,1300,03
29,000029,リンゴ000029,90,01
30,000030,梨000030,100,01
31,000031,桃000031,110,01
32,000032,イチゴ000032,120,01
33,000033,西瓜000033,1000,01
34,000034,寿司000034,90,02
35,000035,焼肉000035,100,02
36,000036,唐揚げ000036,200,02
37,000037,餃子000037,210,02
38,000038,たこ焼き000038,1000,02
39,000039,コカコーラ000039,180,03
40,000040,お茶000040,1000,03
41,000041,麦茶000041,100,03
42,000042,炭酸水000042,1300,03
43,000043,リンゴ000043,90,01
44,000044,梨000044,100,01
45,000045,桃000045,110,01
46,000046,イチゴ000046,120,01
47,000047,西瓜000047,1000,01
48,000048,寿司000048,90,02
49,000049,焼肉000049,100,02
50,000050,唐揚げ000050,200,02
51,000051,餃子000051,210,02
52,000052,たこ焼き000052,1000,02
53,000053,コカコーラ000053,180,03
54,000054,お茶000054,1000,03
55,000055,麦茶000055,100,03
56,000056,炭酸水000056,1300,03
57,000057,リンゴ000057,90,01
58,000058,梨000058,100,01
59,000059,桃000059,110,01
60,000060,イチゴ000060,120,01
61,000061,西瓜000061,1000,01
62,000062,寿司000062,90,02
63,000063,焼肉000063,100,02
64,000064,唐揚げ000064,200,02
65,000065,餃子000065,210,02
66,000066,たこ焼き000066,1000,02
67,000067,コカコーラ000067,180,03
68,000068,お茶000068,1000,03
69,000069,麦茶000069,100,03
70,000070,炭酸水000070,1300,03
71,000071,リンゴ000071,90,01
72,000072,梨000072,100,01
73,000073,桃000073,110,01
74,000074,イチゴ000074,120,01
75,000075,西瓜000075,1000,01
76,000076,寿司000076,90,02
77,000077,焼肉000077,100,02
78,000078,唐揚げ000078,200,02
79,000079,餃子000079,210,02
80,000080,たこ焼き000080,1000,02
81,000081,コカコーラ000081,180,03
82,000082,お茶000082,1000,03
83,000083,麦茶000083,100,03
84,000084,炭酸水000084,1300,03
85,000085,リンゴ000085,90,01
86,000086,梨000086,100,01
87,000087,桃000087,110,01
88,000088,イチゴ000088,120,01
89,000089,西瓜000089,1000,01
90,000090,寿司000090,90,02
91,000091,焼肉000091,100,02
92,000092,唐揚げ000092,200,02
93,000093,餃子000093,210,02
94,000094,たこ焼き000094,1000,02
95,000095,コカコーラ000095,180,03
96,000096,お茶000096,1000,03
97,000097,麦茶000097,100,03
98,000098,炭酸水000098,1300,03
99,000099,リンゴ000099,90,01
100,000100,梨000100,100,01
101,000101,桃000101,110,01
102,000102,イチゴ000102,120,01
103,000103,西瓜000103,1000,01
104,000104,寿司000104,90,02
105,000105,焼肉000105,100,02
106,000106,唐揚げ000106,200,02
107,000107,餃子000107,210,02
108,000108,たこ焼き000108,1000,02
109,000109,コカコーラ000109,180,03
110,000110,お茶000110,1000,03
111,000111,麦茶000111,100,03
112,000112,炭酸水000112,1300,03
113,000113,リンゴ000113,90,01
114,000114,梨000114,100,01
115,000115,桃000115,110,01
116,000116,イチゴ000116,120,01
117,000117,西瓜000117,1000,01
118,000118,寿司000118,90,02
119,000119,焼肉000119,100,02
120,000120,唐揚げ000120,200,02
121,000121,餃子000121,210,02
122,000122,たこ焼き000122,1000,02
123,000123,コカコーラ000123,180,03
124,000124,お茶000124,1000,03
125,000125,麦茶000125,100,03
126,000126,炭酸水000126,1300,03
127,000127,リンゴ000127,90,01
128,000128,梨000128,100,01
129,000129,桃000129,110,01
130,000130,イチゴ000130,120,01
131,000131,西瓜000131,1000,01
132,000132,寿司000132,90,02
133,000133,焼肉000133,100,02
134,000134,唐揚げ000134,200,02
135,000135,餃子000135,210,02
136,000136,たこ焼き000136,1000,02
137,000137,コカコーラ000137,180,03
138,000138,お茶000138,1000,03
139,000139,麦茶000139,100,03
140,000140,炭酸水000140,1300,03
141,000141,リンゴ000141,90,01
142,000142,梨000142,100,01
143,000143,桃000143,110,01
144,000144,イチゴ000144,120,01
145,000145,西瓜000145,1000,01
146,000146,寿司000146,90,02
147,000147,焼肉000147,100,02
148,000148,唐揚げ000148,200,02
149,000149,餃子000149,210,02
150,000150,たこ焼き000150,1000,02
151,000151,コカコーラ000151,180,03
152,000152,お茶000152,1000,03
153,000153,麦茶000153,100,03
154,000154,炭酸水000154,1300,03
155,000155,リンゴ000155,90,01
156,000156,梨000156,100,01
157,000157,桃000157,110,01
158,000158,イチゴ000158,120,01
159,000159,西瓜000159,1000,01
160,000160,寿司000160,90,02
161,000161,焼肉000161,100,02
162,000162,唐揚げ000162,200,02
163,000163,餃子000163,210,02
164,000164,たこ焼き000164,1000,02
165,000165,コカコーラ000165,180,03
166,000166,お茶000166,1000,03
167,000167,麦茶000167,100,03
168,000168,炭酸水000168,1300,03
169,000169,リンゴ000169,90,01
170,000170,梨000170,100,01
171,000171,桃000171,110,01
172,000172,イチゴ000172,120,01
173,000173,西瓜000173,1000,01
174,000174,寿司000174,90,02
175,000175,焼肉000175,100,02
176,000176,唐揚げ000176,200,02
177,000177,餃子000177,210,02
178,000178,たこ焼き000178,1000,02
179,000179,コカコーラ000179,180,03
180,000180,お茶000180,1000,03
181,000181,麦茶000181,100,03
182,000182,炭酸水000182,1300,03
183,000183,リンゴ000183,90,01
184,000184,梨000184,100,01
185,000185,桃000185,110,01
186,000186,イチゴ000186,120,01
187,000187,西瓜000187,1000,01
188,000188,寿司000188,90,02
189,000189,焼肉000189,100,02
190,000190,唐揚げ000190,200,02
191,000191,餃子000191,210,02
192,000192,たこ焼き000192,1000,02
193,000193,コカコーラ000193,180,03
194,000194,お茶000194,1000,03
195,000195,麦茶000195,100,03
196,000196,炭酸水000196,1300,03
197,000197,リンゴ000197,90,01
198,000198,梨000198,100,01
199,000199,桃000199,110,01
200,000200,イチゴ000200,120,01
201,000201,西瓜000201,1000,01
202,000202,寿司000202,90,02
203,000203,焼肉000203,100,02
204,000204,唐揚げ000204,200,02
205,000205,餃子000205,210,02
206,000206,たこ焼き000206,1000,02
207,000207,コカコーラ000207,180,03
208,000208,お茶000208,1000,03
209,000209,麦茶000209,100,03
210,000210,炭酸水000210,1300,03
211,000211,リンゴ000211,90,01
212,000212,梨000212,100,01
213,000213,桃000213,110,01
214,000214,イチゴ000214,120,01
215,000215,西瓜000215,1000,01
216,000216,寿司000216,90,02
217,000217,焼肉000217,100,02
218,000218,唐揚げ000218,200,02
219,000219,餃子000219,210,02
220,000220,たこ焼き000220,1000,02
221,000221,コカコーラ000221,180,03
222,000222,お茶000222,1000,03
223,000223,麦茶000223,100,03
224,000224,炭酸水000224,1300,03
225,000225,リンゴ000225,90,01
226,000226,梨000226,100,01
227,000227,桃000227,110,01
228,000228,イチゴ000228,120,01
229,000229,西瓜000229,1000,01
230,000230,寿司000230,90,02
231,000231,焼肉000231,100,02
